,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,129.0,0.0,0.6744186046511628,0.07933224219170155,0.4,0.6,0.7,0.7,0.9,0.09999999999999998,0.5,0.20635249444846457,0.11374155997729218
Uniqueness,129.0,0.0,0.8697674418604651,0.11011687765363694,0.6,0.8,0.8,1.0,1.0,0.19999999999999996,0.4,-0.22978556335524325,-0.7437412026556482
Semantic Validity,129.0,0.0,0.8507751937984496,0.06026779305603418,0.7,0.8,0.9,0.9,1.0,0.09999999999999998,0.30000000000000004,-0.6826528127680673,-0.08083931306449221
Consistency,129.0,0.0,0.9391472868217055,0.07628104908568314,0.7,0.9,1.0,1.0,1.0,0.09999999999999998,0.30000000000000004,-1.0205931097835574,0.21554390069596874
