,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,127.0,0.0,0.6881889763779525,0.09889402154105642,0.3,0.6,0.7,0.75,0.9,0.15000000000000002,0.6000000000000001,-1.4100236957208558,4.226307209867486
Uniqueness,127.0,0.0,0.9196850393700787,0.11821380286202461,0.6,0.8,1.0,1.0,1.0,0.19999999999999996,0.4,-1.2395689218186943,0.4727055327387242
Semantic Validity,127.0,0.0,0.8149606299212601,0.10546852397187705,0.3,0.8,0.8,0.9,1.0,0.09999999999999998,0.7,-2.036718632019993,7.350314187387566
Consistency,127.0,0.0,0.9488188976377953,0.0898553879917955,0.6,0.9,1.0,1.0,1.0,0.09999999999999998,0.4,-1.7979973814896104,2.8416512974742743
