,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,129.0,0.0,0.6875968992248063,0.10155644361787232,0.2,0.6,0.7,0.8,0.9,0.20000000000000007,0.7,-1.1563748311852362,4.579616860869489
Uniqueness,129.0,0.0,0.8883720930232558,0.12539182774453955,0.6,0.8,0.9,1.0,1.0,0.19999999999999996,0.4,-0.742985644862375,-0.5122343876853344
Semantic Validity,129.0,0.0,0.8034883720930233,0.10536136598326955,0.4,0.7,0.8,0.9,1.0,0.20000000000000007,0.6,-0.6784764505138468,0.7634334561472262
Consistency,129.0,0.0,0.9124031007751938,0.12247943190719851,0.0,0.8,1.0,1.0,1.0,0.19999999999999996,1.0,-3.453903834536421,22.763789187388955
