,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,11.0,116.0,0.6909090909090909,0.07006490497453709,0.6,0.6499999999999999,0.7,0.7,0.8,0.050000000000000044,0.20000000000000007,0.12334242530954176,-0.4526748971193406
Uniqueness,11.0,116.0,0.9181818181818183,0.09816498172140425,0.8,0.8,1.0,1.0,1.0,0.19999999999999996,0.19999999999999996,-0.42926065936083846,-2.0950516197935185
Semantic Validity,11.0,116.0,0.8090909090909091,0.10444659357341872,0.6,0.75,0.8,0.9,0.9,0.15000000000000002,0.30000000000000004,-0.8563653574931688,-0.25972222222222285
Consistency,11.0,116.0,0.9272727272727274,0.09045340337332908,0.8,0.8500000000000001,1.0,1.0,1.0,0.1499999999999999,0.19999999999999996,-0.6469465640446362,-1.5481481481481452
