,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,84.0,0.0,0.6833333333333333,0.10847611844591588,0.2,0.6,0.7,0.8,0.9,0.20000000000000007,0.7,-1.573910550663708,5.2987371379147685
Uniqueness,84.0,0.0,0.8916666666666664,0.1363980119748185,0.3,0.8,1.0,1.0,1.0,0.19999999999999996,0.7,-1.4218775317956156,3.006822438246699
Semantic Validity,84.0,0.0,0.8303571428571432,0.08884054252737125,0.6,0.8,0.8,0.9,1.0,0.09999999999999998,0.4,-0.9660653276535353,0.7716432456818634
Consistency,84.0,0.0,0.9428571428571428,0.10446157336461417,0.3,0.9,1.0,1.0,1.0,0.09999999999999998,0.7,-3.216352353677769,16.168386405292942
