,count,missing,mean,std,min,q1 (25%),median (50%),q3 (75%),max,iqr,range,skew,kurtosis
Coverage,125.0,0.0,0.6615999999999999,0.10378638110670305,0.3,0.6,0.7,0.7,0.8,0.09999999999999998,0.5,-1.2833012901071295,3.2452826608827388
Uniqueness,125.0,0.0,0.8768,0.14319848620573092,0.3,0.8,0.9,1.0,1.0,0.19999999999999996,0.7,-1.4582292195487143,3.2662714982831607
Semantic Validity,125.0,0.0,0.7328,0.1134332260591823,0.3,0.6,0.8,0.8,1.0,0.20000000000000007,0.7,-0.7771953356155424,1.824595314178033
Consistency,125.0,0.0,0.8960000000000001,0.09705336078008671,0.6,0.8,0.9,1.0,1.0,0.19999999999999996,0.4,-0.5645813819070579,-0.23291584098204687
